variant,K,day,human,machine
global,10,0,0,10
global,10,1,0,10
global,10,2,0,10
global,10,3,0,10
global,10,4,0,10
global,10,5,0,10
global,10,6,0,10
global,10,7,0,10
global,10,8,0,10
global,10,9,0,10
global,10,10,0,10
global,10,11,0,10
global,10,12,0,10
global,10,13,0,10
global,10,14,0,10
global,10,15,0,10
global,10,16,0,10
global,10,17,0,10
global,10,18,0,10
global,10,19,0,10
global,10,20,0,10
global,10,21,0,10
global,10,22,0,10
global,10,23,0,10
global,10,24,0,10
global,10,25,0,10
global,10,26,0,10
global,10,27,0,10
global,10,28,0,10
global,10,29,0,10
global,10,30,0,10
global,10,31,0,10
global,10,32,0,10
global,10,33,0,10
global,10,34,0,10
global,10,35,0,10
global,10,36,0,10
global,10,37,0,10
global,10,38,0,10
global,10,39,0,10
global,10,40,0,10
global,10,41,0,10
global,10,42,0,10
global,10,43,0,10
global,10,44,0,10
global,10,45,0,10
global,10,46,0,10
global,10,47,0,10
global,10,48,0,10
global,10,49,0,10
global,10,50,0,10
global,10,51,0,10
global,10,52,0,10
global,10,53,0,10
global,10,54,0,10
global,10,55,0,10
global,10,56,0,10
global,10,57,0,10
global,50,0,3,47
global,50,1,0,50
global,50,2,7,43
global,50,3,32,18
global,50,4,26,24
global,50,5,5,45
global,50,6,0,50
global,50,7,7,43
global,50,8,2,48
global,50,9,0,50
global,50,10,5,45
global,50,11,10,40
global,50,12,0,50
global,50,13,0,50
global,50,14,0,50
global,50,15,0,50
global,50,16,0,50
global,50,17,24,26
global,50,18,23,27
global,50,19,1,49
global,50,20,0,50
global,50,21,0,50
global,50,22,0,50
global,50,23,0,50
global,50,24,14,36
global,50,25,18,32
global,50,26,0,50
global,50,27,1,49
global,50,28,23,27
global,50,29,20,30
global,50,30,29,21
global,50,31,27,23
global,50,32,32,18
global,50,33,21,29
global,50,34,0,50
global,50,35,0,50
global,50,36,0,50
global,50,37,0,50
global,50,38,27,23
global,50,39,27,23
global,50,40,0,50
global,50,41,12,38
global,50,42,6,44
global,50,43,0,50
global,50,44,7,43
global,50,45,32,18
global,50,46,29,21
global,50,47,5,45
global,50,48,9,41
global,50,49,0,50
global,50,50,0,50
global,50,51,0,50
global,50,52,28,22
global,50,53,32,18
global,50,54,29,21
global,50,55,12,38
global,50,56,14,36
global,50,57,0,50
global,100,0,17,83
global,100,1,0,100
global,100,2,12,88
global,100,3,82,18
global,100,4,68,32
global,100,5,22,78
global,100,6,27,73
global,100,7,35,65
global,100,8,29,71
global,100,9,0,100
global,100,10,26,74
global,100,11,39,61
global,100,12,0,100
global,100,13,8,92
global,100,14,0,100
global,100,15,41,59
global,100,16,39,61
global,100,17,72,28
global,100,18,68,32
global,100,19,7,93
global,100,20,24,76
global,100,21,10,90
global,100,22,19,81
global,100,23,0,100
global,100,24,48,52
global,100,25,60,40
global,100,26,21,79
global,100,27,51,49
global,100,28,52,48
global,100,29,39,61
global,100,30,38,62
global,100,31,67,33
global,100,32,64,36
global,100,33,27,73
global,100,34,10,90
global,100,35,24,76
global,100,36,0,100
