gamma,tau,tau_in_sd,account_type,labelled_days_hit,labelled_days_total,labelled_day_overlap,labelled_windows_hit,total_alerts_labelled,eval_daily_mean,eval_daily_sd,eval_daily_cv
0.25,1.5,3.97,human,3.0,18.0,0.16666666666666666,4.0,126872,4640.5,3503.2076016131273,0.7549202891096062
0.25,1.5,3.97,machine,,,,,160243,4153.214285714285,3576.045305567664,0.8610307726880608
0.25,2.0,5.29,human,1.0,18.0,0.05555555555555555,1.0,33494,1589.5714285714287,1164.1466147609333,0.7323650852275125
0.25,2.0,5.29,machine,,,,,29431,687.2857142857143,757.763351385706,1.1025448887341387
0.25,2.5,6.61,human,1.0,18.0,0.05555555555555555,1.0,9735,620.1428571428571,401.56192302306005,0.6475313202399033
0.25,2.5,6.61,machine,,,,,11930,315.35714285714283,371.44015091840265,1.1778396631614128
0.25,3.0,7.94,human,0.0,18.0,0.0,0.0,4577,321.0,198.18755685538812,0.6174067191756639
0.25,3.0,7.94,machine,,,,,4005,130.64285714285714,164.5878802636158,1.2598306854514059
0.25,3.5,9.26,human,0.0,18.0,0.0,0.0,1511,78.14285714285714,61.145296243842445,0.7824809391350953
0.25,3.5,9.26,machine,,,,,1224,44.0,83.20133135029474,1.890939348870335
0.25,4.0,10.58,human,0.0,18.0,0.0,0.0,0,0.0,0.0,0.0
0.25,4.0,10.58,machine,,,,,27,6.357142857142857,23.21341503016386,3.651548431711169
