alpha,account_type,variant,labelled_days_hit,labelled_days_total,labelled_day_overlap,labelled_windows_hit,total_alerts_labelled,eval_daily_mean,eval_daily_sd,eval_daily_cv
0.05,human,global,12.0,18.0,0.6666666666666666,59.0,688449,25136.428571428572,15817.272271472415,0.6292569458117524
0.05,human,stratified,11.0,18.0,0.6111111111111112,61.0,686781,25500.714285714286,11938.72073696193,0.46817201287769816
0.05,machine,global,,,,,2074763,71815.28571428571,19823.374495116273,0.27603280134514524
0.05,machine,stratified,,,,,2088511,72167.78571428571,19066.832338175314,0.26420143211351166
0.01,human,global,9.0,18.0,0.5,29.0,128414,5281.142857142857,3925.886139207552,0.7433781371578897
0.01,human,stratified,8.0,18.0,0.4444444444444444,27.0,130730,5289.285714285715,2864.9814183468147,0.5416575267637461
0.01,machine,global,,,,,380881,13079.714285714286,8028.309520580392,0.6137985391125051
0.01,machine,stratified,,,,,410653,14009.42857142857,6789.234653980756,0.4846189563953388
0.005,human,global,7.0,18.0,0.3888888888888889,22.0,61315,2759.3571428571427,2027.4673328353,0.7347607532731278
0.005,human,stratified,6.0,18.0,0.3333333333333333,21.0,61881,2758.1428571428573,1514.9628001090607,0.5492691563041086
0.005,machine,global,,,,,179083,6359.357142857143,5659.715956546866,0.8899824037880752
0.005,machine,stratified,,,,,211984,7169.571428571428,4331.49549079913,0.6041498482793135
0.001,human,global,3.0,18.0,0.16666666666666666,5.0,10381,580.3571428571429,341.30938077731383,0.5881023176470638
0.001,human,stratified,1.0,18.0,0.05555555555555555,2.0,10291,612.0,284.7122704118615,0.4652161281239567
0.001,machine,global,,,,,41701,1676.0714285714287,2248.3720765268135,1.34145361480398
0.001,machine,stratified,,,,,49673,1540.7142857142858,1353.0538921879036,0.8781990955322507
