account_type,hour,dow,stage,alpha,n,ter
human,0,0,global,0.05,35405,0.7264510662335828
human,0,0,global,0.01,35405,0.3728286965117921
human,0,0,global,0.005,35405,0.42366897330885467
human,0,0,global,0.001,35405,0.8473379466177093
human,0,0,stratified,0.05,35405,0.9772630984324246
human,0,0,stratified,0.01,35405,1.0394012145177234
human,0,0,stratified,0.005,35405,1.084592571670668
human,0,0,stratified,0.001,35405,2.174834062985454
human,0,1,global,0.05,36478,0.8196721311475409
human,0,1,global,0.01,36478,0.48796534897746585
human,0,1,global,0.005,36478,0.5702066999287242
human,0,1,global,0.001,36478,1.3981029661713908
human,0,1,stratified,0.05,36478,1.2917374856077635
human,0,1,stratified,0.01,36478,1.2473271560940842
human,0,1,stratified,0.005,36478,1.3652064257908876
human,0,1,stratified,0.001,36478,2.330171610285652
human,0,2,global,0.05,31904,0.8086760280842528
human,0,2,global,0.01,31904,0.41374122367101307
human,0,2,global,0.005,31904,0.36359077231695086
human,0,2,global,0.001,31904,0.34478435305917754
human,0,2,stratified,0.05,31904,1.579112337011033
human,0,2,stratified,0.01,31904,1.8336258776328989
human,0,2,stratified,0.005,31904,1.7803410230692074
human,0,2,stratified,0.001,31904,1.7866098294884654
human,0,3,global,0.05,26841,0.49700085689802914
human,0,3,global,0.01,26841,0.22726425990089788
human,0,3,global,0.005,26841,0.24589247792556165
human,0,3,global,0.001,26841,0.2980514883946202
human,0,3,stratified,0.05,26841,0.783875414477851
human,0,3,stratified,0.01,26841,0.7861108006408107
human,0,3,stratified,0.005,26841,0.886703177973995
human,0,3,stratified,0.001,26841,1.5275138780224282
human,0,4,global,0.05,25957,0.2380860654158801
human,0,4,global,0.01,25957,0.19647879184805642
human,0,4,global,0.005,25957,0.2542666718033671
human,0,4,global,0.001,25957,1.0401818391955926
human,0,4,stratified,0.05,25957,0.634896174442347
human,0,4,stratified,0.01,25957,0.6472242554994798
human,0,4,stratified,0.005,25957,0.7319798127672689
human,0,4,stratified,0.001,25957,1.0401818391955926
human,0,5,global,0.05,26477,0.43358386524153036
human,0,5,global,0.01,26477,0.2983721720738754
human,0,5,global,0.005,26477,0.4154549231408392
human,0,5,global,0.001,26477,0.7553725875287985
human,0,5,stratified,0.05,26477,0.7833213732673641
human,0,5,stratified,0.01,26477,0.8422404350946103
human,0,5,stratified,0.005,26477,0.9215545567851342
human,0,5,stratified,0.001,26477,2.3416550213392755
human,0,6,global,0.05,31554,0.5894656778855295
human,0,6,global,0.01,31554,0.26304113583063954
human,0,6,global,0.005,31554,0.2725486467642771
human,0,6,global,0.001,31554,0.41199214045762816
human,0,6,stratified,0.05,31554,0.9025797046333269
human,0,6,stratified,0.01,31554,0.8429993027825315
human,0,6,stratified,0.005,31554,0.6718641059770553
human,0,6,stratified,0.001,31554,0.5070672497940039
human,1,0,global,0.05,36378,0.7955357633734674
human,1,0,global,0.01,36378,0.36010775743581286
human,1,0,global,0.005,36378,0.34636318654131615
human,1,0,global,0.001,36378,0.8521633954587938
human,1,0,stratified,0.05,36378,0.9324316894826543
human,1,0,stratified,0.01,36378,0.9346308208257739
human,1,0,stratified,0.005,36378,1.0006047611193578
human,1,0,stratified,0.001,36378,1.5943702237616142
human,1,1,global,0.05,37196,0.9414990859232175
human,1,1,global,0.01,37196,0.5296268415958706
human,1,1,global,0.005,37196,0.5860845252177653
human,1,1,global,0.001,37196,1.5861920636627593
human,1,1,stratified,0.05,37196,1.4469297773954186
human,1,1,stratified,0.01,37196,1.5808151414130551
human,1,1,stratified,0.005,37196,1.5485536079148294
human,1,1,stratified,0.001,37196,2.258307344875793
human,1,2,global,0.05,32341,0.849077022973934
human,1,2,global,0.01,32341,0.3648619399523824
human,1,2,global,0.005,32341,0.247364027086361
human,1,2,global,0.001,32341,0.18552302031477072
human,1,2,stratified,0.05,32341,1.7445348010265607
