account_type,stage,alpha,observed_rate,ter
human,raw,0.05,0.18755482007533505,3.7510964015067008
human,raw,0.01,0.14572812905178037,14.572812905178036
human,raw,0.005,0.1319765835525894,26.39531671051788
human,raw,0.001,0.10600638358203511,106.00638358203511
human,global,0.05,0.05114626733695102,1.0229253467390202
human,global,0.01,0.010745788473827997,1.0745788473827997
human,global,0.005,0.005614593087703545,1.122918617540709
human,global,0.001,0.0011808798332321531,1.180879833232153
human,stratified,0.05,0.051887496524579815,1.0377499304915963
human,stratified,0.01,0.010762357126257347,1.0762357126257347
human,stratified,0.005,0.0056121223237447825,1.1224244647489565
human,stratified,0.001,0.0012452650352163801,1.24526503521638
machine,raw,0.05,0.1218269520953461,2.4365390419069217
machine,raw,0.01,0.10385405919727445,10.385405919727445
machine,raw,0.005,0.09824760346388577,19.649520692777152
machine,raw,0.001,0.08750868528149336,87.50868528149336
machine,global,0.05,0.050402906824600927,1.0080581364920185
machine,global,0.01,0.009179878822150501,0.9179878822150501
machine,global,0.005,0.004463257123434769,0.8926514246869538
machine,global,0.001,0.0011763355280901804,1.1763355280901804
machine,stratified,0.05,0.050650305751987465,1.0130061150397491
machine,stratified,0.01,0.009832390359914055,0.9832390359914055
machine,stratified,0.005,0.005031898670211966,1.0063797340423932
machine,stratified,0.001,0.0010813363452335475,1.0813363452335474
