bin,windows,observed_mean,expected_mean,model
0,688871,5.811662851245008,1.1676991378312311,04 all-window
1,688867,6.740771440640937,1.4706251190291146,04 all-window
2,688868,6.86666095681611,1.6532273140104243,04 all-window
3,688868,7.167336848278625,1.843719971427042,04 all-window
4,688870,7.489482776140636,2.104992742160748,04 all-window
5,688868,7.821575396157174,2.452222460571197,04 all-window
6,688871,8.638726263698137,2.9479248569829446,04 all-window
7,688869,9.767051500357834,3.8286172494589747,04 all-window
8,688864,12.71590763924374,6.428626020983051,04 all-window
9,688869,50.10957090535356,44.614520962855956,04 all-window
0,688047,3.452633323014271,3.2738836816124257,25 back-solved
1,688046,5.483208971493185,5.2497490152569295,25 back-solved
2,688046,6.603042529133226,6.260949917625169,25 back-solved
3,688046,7.344386857855434,6.996193079822187,25 back-solved
4,688047,7.838375866764916,7.657668176954306,25 back-solved
5,688046,8.321950857936825,8.357794419726853,25 back-solved
6,688078,8.944302826133084,9.179776481432837,25 back-solved
7,688014,9.975852235564973,10.388727399038046,25 back-solved
8,688046,13.20086447708438,13.510800889073248,25 back-solved
9,688047,52.02322370419463,53.67733116081448,25 back-solved
