src_user,window_id,eligible_25,prior_active_all,prior_active_7d,first_active_observation,exclusion_reason
U1025@DOM1,3841,1,1088,507,False,
U1025@DOM1,3842,1,1089,507,False,
U1025@DOM1,3843,1,1090,507,False,
U1025@DOM1,3845,1,1092,508,False,
U1025@DOM1,3852,1,1096,509,False,
U10379@C3521,2420,0,0,0,True,first active observation
U10379@C3521,7679,0,1,0,False,no active history in previous 7 days
U1048@DOM1,2560,1,699,477,False,
U1048@DOM1,2563,1,700,477,False,
U1048@DOM1,2564,1,701,477,False,
U1048@DOM1,2565,1,702,478,False,
U1048@DOM1,2566,1,703,479,False,
U1048@DOM1,7685,1,1611,421,False,
U1106@DOM1,4150,1,882,738,False,
U1106@DOM1,4151,1,883,739,False,
U1133@DOM1,3631,1,205,47,False,
U1133@DOM1,3663,1,213,55,False,
U1133@DOM1,3892,1,230,71,False,
U1145@DOM1,3583,1,1454,702,False,
U1145@DOM1,3591,1,1461,705,False,
U1145@DOM1,3592,1,1462,706,False,
U1145@DOM1,3593,1,1463,707,False,
U1145@DOM1,7912,1,2979,849,False,
U114@DOM1,4148,1,1708,742,False,
U114@DOM1,4155,1,1715,742,False,
U1164@DOM1,2556,1,796,611,False,
U1289@DOM1,3574,1,1223,680,False,
U1289@DOM1,3605,1,1234,674,False,
U1289@DOM1,3606,1,1235,675,False,
U12@DOM1,3561,1,3531,2002,False,
U12@DOM1,3562,1,3532,2002,False,
U12@DOM1,3571,1,3541,2002,False,
U12@DOM1,3586,1,3555,2001,False,
U12@DOM1,7684,1,7429,1909,False,
U1306@DOM1,4544,1,739,367,False,
U13@DOM1,3571,1,3571,2016,False,
U13@DOM1,3574,1,3574,2016,False,
U1450@DOM1,2490,1,1011,867,False,
U1450@DOM1,2492,1,1013,869,False,
U1450@DOM1,2493,1,1014,870,False,
U1450@DOM1,2494,1,1015,871,False,
U1450@DOM1,3606,1,1306,1032,False,
U1450@DOM1,3607,1,1307,1032,False,
U1467@C3597,7667,1,31,6,False,
U1480@DOM1,2547,1,968,851,False,
U1480@DOM1,2548,1,969,852,False,
U1480@DOM1,2549,1,970,853,False,
U1480@DOM1,2550,1,971,854,False,
U1480@DOM1,3583,1,1497,973,False,
U1480@DOM1,3588,1,1501,975,False,
U1506@DOM1,4145,1,1578,894,False,
U1519@DOM1,3576,1,367,217,False,
U1569@DOM1,3593,1,875,528,False,
U1569@DOM1,3930,1,1007,562,False,
U1581@DOM1,3593,1,4,3,False,
U1581@DOM1,3930,1,5,4,False,
U1592@DOM1,3665,1,1242,817,False,
U1592@DOM1,3666,1,1243,817,False,
U1592@DOM1,3667,1,1244,818,False,
U1600@DOM1,2465,1,900,810,False,
U1600@DOM1,2467,1,902,812,False,
U1600@DOM1,7682,1,2782,657,False,
U162@DOM1,2511,1,1071,815,False,
U162@DOM1,2513,1,1073,815,False,
U162@DOM1,2519,1,1075,811,False,
U162@DOM1,2552,1,1088,791,False,
U162@DOM1,2555,1,1090,790,False,
U162@DOM1,2581,1,1101,775,False,
U162@DOM1,3583,1,1388,671,False,
U162@DOM1,3589,1,1394,674,False,
U1653@DOM1,2418,1,790,552,False,
U1653@DOM1,2533,1,836,531,False,
U1653@DOM1,2768,1,914,548,False,
U1653@DOM1,2769,1,915,549,False,
U1653@DOM1,3900,1,1237,638,False,
U1653@DOM1,3901,1,1238,639,False,
U1723@DOM1,762,1,53,53,False,
U1723@DOM1,763,1,54,54,False,
U1723@DOM1,767,1,57,57,False,
U1723@DOM1,1558,1,151,151,False,
U1723@DOM1,1574,1,162,162,False,
U1723@DOM1,1577,1,164,164,False,
U1723@DOM1,1611,1,173,173,False,
U1723@DOM1,1613,1,174,174,False,
U1723@DOM1,1619,1,178,178,False,
