src_user,window_id,eligible_25,prior_active_all,prior_active_7d,first_active_observation,exclusion_reason
U10379@C3521,2420,0,0,0,True,first active observation
U10379@C3521,7679,0,1,0,False,no active history in previous 7 days
U737@C10,3889,0,0,0,True,first active observation
U7761@C2519,3576,0,0,0,True,first active observation
U8168@C19038,4111,0,0,0,True,first active observation
U8168@C685,4505,0,0,0,True,first active observation
U86@C10,3890,0,0,0,True,first active observation
U8777@C1500,2490,0,0,0,True,first active observation
U8777@C1500,4517,0,1,0,False,no active history in previous 7 days
U8777@C3388,2491,0,0,0,True,first active observation
U8777@C3388,4512,0,1,0,False,no active history in previous 7 days
U8777@C583,2487,0,0,0,True,first active observation
U8777@C583,7884,0,2,0,False,no active history in previous 7 days
